,Ad_Image,Ad_Title,Ad_Location,Ad_Date,Ad_Bedrooms,Ad_Description,Ad_Price,Ad_Currency
10,https://media.kijiji.ca/api/v1/ca-prod-dealer-ads/images/13/13f2e64f-747f-407c-ba30-95b24d2a1690?rule=kijijica-200-jpg,Renovated 1 bedroom in The Beaches ~~ Open House Saturdays!,Toronto,11-09-2022,1,"3000, 3015 & 3017 Queen St. E., Scarborough (The Beaches) Queen St. E & Victoria Park Ave. Monthly rent: Starting from $1849/month Utilities: Heat and water included, hydro extra Parking: $130 per","1,849.00",$
11,https://media.kijiji.ca/api/v1/ca-prod-dealer-ads/images/50/507fd400-b490-44d6-bcd4-25ddf3694515?rule=kijijica-200-jpg,LARGE Renovated 1 Bedroom ~ In The Beaches!,East York,11-09-2022,1,"2402-2406 Queen St East,Scarborough (The Beaches) Queen St. E & Victoria Park Ave. Monthly rent: Starting from $1832/month Utilities: Heat and water included, hydro extra Parking: $118 per month Join","1,832.00",$
12,https://media.kijiji.ca/api/v1/ca-prod-dealer-ads/images/a5/a57dae77-0a43-4e24-b1dd-f9472947d920?rule=kijijica-200-jpg,Renovated 1 Bedroom  ~ near DVP!,City of Toronto,11-09-2022,1,"74 Curlew Drive (North York) Lawrence Ave E. & Victoria Park Ave. Monthly rent: Starting from $1999/month Utilities: Heat included, hydro and water extra Parking: $135 per month/indoor or $120 per","2,080.00",$
13,https://media.kijiji.ca/api/v1/ca-prod-dealer-ads/images/2a/2a86a88d-5b07-48d1-845a-ca251fc87e64?rule=kijijica-200-jpg,Large Bachelor at Warden Station - $500GC promo available,Scarborough,11-09-2022,Bachelor/Studio,"50 Burnhill Rd., Scarborough Burnhill Rd. & Warden Ave. Monthly rent: Starting from $1710/month Utilities: Heat included, water and hydro extra Parking: $145 per month/indoor OR $110 per","1,710.00",$
14,https://media.kijiji.ca/api/v1/ca-prod-dealer-ads/images/28/2808a0a8-fd71-4869-8fb5-0941c34efd65?rule=kijijica-200-jpg,"Gorgeous 1 Bedroom in The Beaches! Pet Friendly, quiet mid-rise!",Toronto,11-09-2022,1,"1150 & 1200 Kingston Rd., The Beaches Victoria Park Ave. & Kingston Rd. Monthly rent: Starting from $1825/month Utilities: Heat included, hydro and water extra Parking: $120 per month/indoor To view","1,825.00",$
15,https://media.kijiji.ca/api/v1/ca-prod-dealer-ads/images/5a/5affe9a2-5de6-4c18-8613-9a23b0ffabfb?rule=kijijica-200-jpg,SPACIOUS 2 Bedroom in The Beaches ~~ Open House Saturdays!,Toronto,11-09-2022,2,"3000, 3015 & 3017 Queen St. E., Scarborough (The Beaches) Queen St. E & Victoria Park Ave. Monthly rent: Starting from $2434/month Utilities: Heat and water included, hydro extra Parking: $130 per","2,434.00",$
16,https://media.kijiji.ca/api/v1/ca-prod-dealer-ads/images/42/42935823-a53f-4a1d-834f-7d201c495634?rule=kijijica-200-jpg,"NEW RENOS, LARGE 1 Bed (North York) Near Hwy 400/401",Toronto,11-09-2022,1,2801 Jane St. Jane St. & Finch Ave. W Rent: Starting from $1940/month Utilities: Heat included Parking: $95 per month/indoor OR $85 per month/outdoor Suite Features: Spacious layouts Thorough,"1,940.00",$
17,https://media.kijiji.ca/api/v1/ca-prod-dealer-ads/images/21/21825f80-2f7d-4b2e-8641-863c5d28d6df?rule=kijijica-200-jpg,Renovated 1 Bedroom!  4 Appliances & Balcony! Upper Beaches,Scarborough,11-09-2022,1,"1080 Kingston Rd., The Beaches Victoria Park Ave. & Kingston Rd. Monthly rent: Starting from $1725/month Utilities: Heat included, hydro and water extra Parking: $127 per month/indoor and $100 per","1,725.00",$
18,https://media.kijiji.ca/api/v1/ca-prod-dealer-ads/images/f3/f3534288-0192-4c57-991b-ad49966d67e5?rule=kijijica-200-jpg,"BRAND NEW 2 Bedroom, 4 Appliances, Lots of storage! Pet Friendly",Scarborough,11-09-2022,2,"1080 Kingston Rd., The Beaches Victoria Park Ave. & Kingston Rd. Monthly rent: Starting from $2,299 Utilities: Heat included, hydro and water extra Parking: $127 per month/indoor and $100 per","2,299.00",$
19,https://media.kijiji.ca/api/v1/ca-prod-dealer-ads/images/53/53d84bdf-ab52-44a6-85e3-6476e0116cd0?rule=kijijica-200-jpg,3 Beds 3 Baths House for Rent,Toronto,11-09-2022,3,"Features include, spacious open concept layout, kitchen-dining and living room areas. Kitchen features Include NEW granite counter top, cabinets and new silverware appliances including two fridges","3,000.00",$
20,https://media.kijiji.ca/api/v1/ca-prod-fsbo-ads/images/d8/d8cbda0f-60ef-48ae-ac3c-7a223fc2615e?rule=kijijica-200-jpg,Downtown above grade apartment for rent,Toronto,11-09-2022,Bachelor/Studio,*****Centrally located at Queen and Parliament***** ******Bottom Floor Walk Out**** *****Private Entrance****** ******Gas Fireplace***** *****In unit Laundry***** *****Private Back Patio***** *****,"1,475.00",$
21,https://media.kijiji.ca/api/v1/ca-prod-dealer-ads/images/54/5445449f-e14c-4187-9d64-c30aa3a45f8f?rule=kijijica-200-jpg,2 Bedroom Apartments for Rent on Jackes Avenue,Toronto,11-09-2022,2,Join Us for Our In-person Open House Every Wednesday and Friday from 4pm to 6pm By appointment only. Call Now to Reserve Your Spot! The Summerhilll at 7 Jackes Avenue is an amazing luxury residence,"3,384.00",$
22,https://media.kijiji.ca/api/v1/ca-prod-dealer-ads/images/60/6066cf10-7cfd-466f-a3aa-32927ef332c4?rule=kijijica-200-jpg,3 Bedroom  Pent House Apartment for Rent on Jackes Avenue,Toronto,11-09-2022,3,Join Us for Our In-person Open House Every Wednesday and Friday from 4pm to 6pm By appointment only. Call Now to Reserve Your Spot! The Summerhilll at 7 Jackes Avenue is an amazing luxury residence,"8,995.00",$
23,https://media.kijiji.ca/api/v1/ca-prod-dealer-ads/images/02/02d7065f-7b8d-4139-8da7-2ae66fce2b8d?rule=kijijica-200-jpg,1 Bedroom Apartments for Rent on Jackes Avenue,Toronto,11-09-2022,1,Join Us for Our In-person Open House Every Wednesday and Friday from 4pm to 6pm By appointment only. Call Now to Reserve Your Spot! The Summerhilll at 7 Jackes Avenue is an amazing luxury residence,"2,550.00",$
24,https://media.kijiji.ca/api/v1/ca-prod-dealer-ads/images/a0/a09352ae-b20e-4c82-8b05-9629a54bdd00?rule=kijijica-200-jpg,Jr 1 Bedroom Apartments for Rent on Jackes Avenue,Toronto,11-09-2022,1,Join Us for Our In-person Open House Every Wednesday and Friday from 4pm to 6pm By appointment only. Call Now to Reserve Your Spot! The Summerhilll at 7 Jackes Avenue is an amazing luxury residence,"2,050.00",$
25,https://media.kijiji.ca/api/v1/ca-prod-fsbo-ads/images/da/da42a358-87ec-4431-8861-8595aff5e15d?rule=kijijica-200-jpg,►►► Studio by the lake-Avail. Now ►►►,Toronto,11-09-2022,Bachelor/Studio,"Prime South Etobicoke by the lake Available Now **Bright open concept Studio Unit in a quiet low rise building by the lake **5 min walk from Humber College **High ceilings, South facing Suite **Easy","1,199.00",$
26,https://media.kijiji.ca/api/v1/ca-prod-fsbo-ads/images/a9/a9282d3b-71ca-4439-954c-3bbe6e681be7?rule=kijijica-200-jpg,House for Rent,Toronto,11-09-2022,3,Prime Scarborough Location. Gorgeous Two Story 3 Bedrooms Semi Detached House for Rent On Very Quiet Court Near Rouge Beach. West Rough Area At Port Union Rd./Lawrence Ave. E. Area. Walking Distance,"3,150.00",$
27,https://media.kijiji.ca/api/v1/ca-prod-fsbo-ads/images/29/29916f0a-1328-450e-a332-bb2f07ffc757?rule=kijijica-200-jpg,►►► 1BR Appartment by the lake-Avail. November 1 ►►►,Toronto,11-09-2022,1,"Nice & bright south etobicoke by the lake 1 BR unit Available November 1 **Bright open concept Studio Unit in a quiet low rise building by the lake **5 min walk from Humber College **High ceilings,","1,795.00",$
28,https://media.kijiji.ca/api/v1/ca-prod-dealer-ads/images/14/14ecd34d-8925-4330-b2b0-9c964ee67b41?rule=kijijica-200-jpg,"1 Bdrm available at 77 Huntley Street, Toronto",Toronto,11-09-2022,1,"Visit our Website: https://www.rpmsi.ca/property/huntley-apartments-77-huntley/ Come experience the Huntley Apartments. Featuring balconies and other upgrades, and only steps away from Sherbourne","2,010.00",$
29,https://media.kijiji.ca/api/v1/ca-prod-fsbo-ads/images/46/460eb775-ef30-49ff-bf70-b108469204bc?rule=kijijica-200-jpg,"One bedroom, all included, steps to Finch subway",Toronto,11-09-2022,1,"Steps to Finch Subway, All included","2,350.00",$
30,https://media.kijiji.ca/api/v1/ca-prod-fsbo-ads/images/04/04b91682-99f2-4513-9455-6f91fe7e22b6?rule=kijijica-200-jpg,29 Singer Court #2807 | 1BD+D in North York,Toronto,11-09-2022,1 + Den,"Located at Leslie & Sheppard with easy access to TTC subway Spacious 1 Br + Den Unit, A Modern Kitchen with Granite Counter Tops & Island with Laminate Flooring throughout the property with 9-foot","2,300.00",$
31,https://media.kijiji.ca/api/v1/ca-prod-fsbo-ads/images/21/21853037-e314-4e89-9f2b-d917f55bbbc0?rule=kijijica-200-jpg,Scarborough 2 bedroom basement for rent from October 1st,Scarborough,11-09-2022,2,SCARBOROUGH BASEMENT FOR RENT: Mclevin and Glanvil crescent .Scarborough. -Separate entrance. -Specious 2 bedroom . -One full washroom . -Eat in kitchen. -Furnished. -Free WiFi. -Tenants pay 40%,Please Contact,Please Contact
32,https://media.kijiji.ca/api/v1/ca-prod-fsbo-ads/images/f5/f5a02295-5d76-4783-b3e3-8cb92f91e9ae?rule=kijijica-200-jpg,"3 Bedroom House For Rent Lawrence & Warden, October 1",Toronto,11-09-2022,3,3 Bedroom Main Floor of House for Rent October 1 Don't miss this opportunity to rent the main floor of a house located in a great neighborhood! Large 3 bedrooms bungalow (main floor) available for,"2,500.00",$
33,https://media.kijiji.ca/api/v1/ca-prod-fsbo-ads/images/a0/a09e6c04-e104-4966-8475-5ecd95ca9ef1?rule=kijijica-200-jpg,3 Bedroom BASEMENT for Rent: McCowan Road / Brimorton Drive,Toronto,11-09-2022,3,"Video of the basement will be sent to inquiries. McCowan Road / Brimorton Drive: 3 Bedroom Bungalow House for Rent – Basement ONLY (WI-FI INCLUDED) AVAILABLE TO MOVE IN: OCTOBER 1, 2022 Lease:","2,500.00",$
34,https://media.kijiji.ca/api/v1/ca-prod-fsbo-ads/images/67/67b93079-e10a-45f3-9d04-0ffdf3a802ef?rule=kijijica-200-jpg,88 Blue Jays Way 36th FLOOR 2 Bed 2 Bath,Toronto,11-09-2022,2,An Opportunity To Live In One Of The Most Prestigious Hotel And Residences In Toronto! Luxury Living At The Renowned Bisha Hotel & Residences! Incredibly Bright & Spacious 2 Bedroom Corner Suite.,"4,750.00",$
35,https://media.kijiji.ca/api/v1/ca-prod-dealer-ads/images/f3/f3c1d095-862a-4fb3-9a74-bddaca4e0413?rule=kijijica-200-jpg,"Bungalow upstairs for rent-Oct 01, 2022; $2700+Utilit+Parking",Scarborough,11-09-2022,3,"Three Bedrooms upstairs main floor of a full brick Bungalow house is available for rent from Oct. 01, 2022. Nicely painted bright rooms, porch, large living and dining, large upgraded kitchen and","2,700.00",$
36,https://media.kijiji.ca/api/v1/ca-prod-fsbo-ads/images/fc/fcadd286-91b1-403b-91bc-1b372c363ab4?rule=kijijica-200-jpg,3 Beds 2.5 Baths Townhouse for rent,Toronto,11-09-2022,3 + Den,"A Modern-Style 3 Bedroom, 2.5 Washroom With 2 indoor Car Parking Condo Townhouse Located In Lawrence Ave E and Manse Rd. The Unit Has A Spacious Layout With Lot Of Sunlight, Ensuite steam Laundry-","3,500.00",$
37,https://media.kijiji.ca/api/v1/ca-prod-fsbo-ads/images/bc/bc343c00-0199-4946-b5f2-4a3d3e42b0e7?rule=kijijica-200-jpg,"Spacious 1 bedroom in North York near TTC, 401, Yorkdale & more!",Toronto,11-09-2022,1,"Address: 871 Wilson Ave #33 Monthly rent: Starting from $2,200 Suite Features: • Open-concept kitchen with appliances (fridge, stove, microwave and dishwasher) • Large living space • In-suite laundry","2,200.00",$
38,https://media.kijiji.ca/api/v1/ca-prod-fsbo-ads/images/7f/7f1d273d-6891-4619-b37e-b3512c316265?rule=kijijica-200-jpg,Beautiful 3-Bedroom Condo (furnished) available for rent,Toronto,11-09-2022,3 + Den,"1) This ad will come down when the unit has been rented out. If you still see the ad, consider the unit is still available. 2) To visit the unit, please contact Shah at +1 (437) 240-6968 to schedule","2,560.00",$
39,https://media.kijiji.ca/api/v1/ca-prod-fsbo-ads/images/17/179e4b2c-9136-4b50-90b3-df14764973c8?rule=kijijica-200-jpg,1 Bedroom Basement Apartment with Laundry and Parking for one,Toronto,11-09-2022,1,"1 Bedroom Basement Apartment with Laundry and 1 Parking space (outdoor). Close to Yonge and Finch TTC, ideal for one (1) person due to size of the unit. If you're interested, please leave a short","1,400.00",$
40,https://media.kijiji.ca/api/v1/ca-prod-dealer-ads/images/10/10b3e379-33cc-4ed2-9bbb-1451bd92dc41?rule=kijijica-200-jpg,Downtown 1 Bedroom Large Apartment for Rent - 77 Wellesley Stree,Toronto,11-09-2022,1,"Current Promotions View our units by clicking the virtual tour link, schedule a video tour or make an appointment for in person viewing. Call: (647) 424-1549Virtual Open House: View our units by","2,312.00",$
41,https://media.kijiji.ca/api/v1/ca-prod-dealer-ads/images/fc/fc5c1ad8-3530-41da-b2f1-e9719f9a85b5?rule=kijijica-200-jpg,Beautiful 1bd at 250 Heath St. W.,City of Toronto,11-09-2022,1,"Beautiful 1bd at 250 Heath St. W. Virtual Tour Link: https://youriguide.com/905_250_heath_st_w_toronto_on Located in the beautiful, upscale neighbourhood of Forest Hill. Steps from St. Clair subway","2,150.00",$
42,https://media.kijiji.ca/api/v1/ca-prod-dealer-ads/images/98/9836867d-df03-46cd-9827-58b4e369d306?rule=kijijica-200-jpg,Newly Renovated 2 Bedroom ~ North York ~ Jane and Yorkwoods,City of Toronto,11-09-2022,2,2801 Jane St. Jane St. & Finch Ave W. Rent: Starting from $2345/month Utilities:Heat included Parking: $95 per month/indoor OR $85 per month/outdoor To view our property from the comfort of your own,"2,345.00",$
43,https://media.kijiji.ca/api/v1/ca-prod-dealer-ads/images/a7/a7200ea3-ff9f-4d45-8871-eeaabe52e60b?rule=kijijica-200-jpg,LARGE Fully Renovated 2 Bedroom near HWY 401!,Toronto,11-09-2022,2,"2450 & 2460 Weston Road (Toronto) Weston Rd. & HWY 401 Monthly rent: Starting from $2373/month Utilities: Heat and water included, hydro extra Parking: $125 per month/indoor and outdoor (based on","2,373.00",$
44,https://media.kijiji.ca/api/v1/ca-prod-dealer-ads/images/f1/f1838f78-8e00-42c9-96a6-401add87b41c?rule=kijijica-200-jpg,"Large 3 bed available ~ ,close to the DVP",Toronto,11-09-2022,3,"75 Thorncliffe Park Drive (East York) Thorncliffe Park Dr. & Overlea Blvd. Monthly rent: Starting from $3019 Utilities: Heat and water included, hydro extra Parking: $130 per month/indoor or $90 per","3,019.00",$
